"P1";"P2";"P3";"P4";"P5";"P6";"P5C";"P5CSharp";"P5PlusPlus";"P5PHP";"P5Python";"P5Assembler"
"Rarely";"No";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"No";"Eclipse";"PHP";5;"No";"No";"No";"Yes";"No";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Occasionally";"Yes";"Yes";"Eclipse";"C, Assembler";12;"Yes";"No";"No";"No";"No";"Yes"
"Most of the time";"No";"Definitely yes";"IntelliJ IDEA";"C#, PHP, Assembler";5;"No";"Yes";"No";"Yes";"No";"Yes"
"Occasionally";"Yes";"No";"Eclipse";"PHP, Python";7;"No";"No";"No";"Yes";"Yes";"No"
"Occasionally";"Yes";"Yes";"Eclipse";"PHP, Python, C#";4;"No";"Yes";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Don't know";"PHP, Python, C";5;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"No";"Don't know";"C#, PHP, Assembler";3;"No";"Yes";"No";"Yes";"No";"Yes"
"Rarely";"Yes";"Definitely no";"NetBeans";"PHP";5;"No";"No";"No";"Yes";"No";"No"
"Rarely";"No";"No";"Don't know";"PHP, Python";2;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"IntelliJ IDEA";"PHP, Python, C#";7;"No";"Yes";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"Don't know";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Rarely";"Yes";"Definitely no";"Don't know";"Python";10;"No";"No";"No";"No";"Yes";"No"
"Rarely";"No";"Definitely no";"Eclipse";"PHP, Python";2;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"No";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely no";"Eclipse";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Rarely";"No";"No";"IntelliJ IDEA";"PHP, Python";10;"No";"No";"No";"Yes";"Yes";"No"
"Occasionally";"Yes";"Definitely no";"Don't know";"Python";3;"No";"No";"No";"No";"Yes";"No"
"Rarely";"Yes";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"No";"Eclipse";"PHP";3;"No";"No";"No";"Yes";"No";"No"
"Seldom";"Yes";"Definitely no";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Eclipse";"PHP, Python, C#";1;"No";"Yes";"No";"Yes";"Yes";"No"
"Rarely";"Yes";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Don't know";"C#, PHP, Assembler";9;"No";"Yes";"No";"Yes";"No";"Yes"
"Rarely";"No";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"No";"IntelliJ IDEA";"PHP, Python, C#";7;"No";"Yes";"No";"Yes";"Yes";"No"
"Seldom";"No";"No";"Don't know";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"Definitely no";"Don't know";"Python";3;"No";"No";"No";"No";"Yes";"No"
"Seldom";"Yes";"Yes";"Eclipse";"PHP, Python, C#";3;"No";"Yes";"No";"Yes";"Yes";"No"
"Seldom";"No";"Definitely no";"Don't know";"PHP, Python";12;"No";"No";"No";"Yes";"Yes";"No"
"Rarely";"No";"Yes";"NetBeans";"PHP, Python, C#";3;"No";"Yes";"No";"Yes";"Yes";"No"
"Rarely";"Yes";"Definitely no";"Eclipse";"PHP, Python";3;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"No";"Don't know";"Python";4;"No";"No";"No";"No";"Yes";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C#, PHP, Assembler";6;"No";"Yes";"No";"Yes";"No";"Yes"
"Occasionally";"No";"No";"Eclipse";"C, Python";5;"Yes";"No";"No";"No";"Yes";"No"
"Most of the time";"No";"Yes";"IntelliJ IDEA";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C#, PHP, Assembler";2;"No";"Yes";"No";"Yes";"No";"Yes"
"Rarely";"Yes";"Definitely no";"Eclipse";"PHP, Python";5;"No";"No";"No";"Yes";"Yes";"No"
"Seldom";"Yes";"Definitely yes";"Eclipse";"Python";7;"No";"No";"No";"No";"Yes";"No"
"Occasionally";"Yes";"Definitely yes";"NetBeans";"C, Python";2;"Yes";"No";"No";"No";"Yes";"No"
"Occasionally";"Yes";"Definitely yes";"NetBeans";"C#, PHP, Assembler";4;"No";"Yes";"No";"Yes";"No";"Yes"
"Occasionally";"Yes";"Definitely yes";"NetBeans";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Most of the time";"No";"Yes";"IntelliJ IDEA";"C, Python";6;"Yes";"No";"No";"No";"Yes";"No"
"Occasionally";"No";"No";"IntelliJ IDEA";"C#, PHP, Assembler";8;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C++, Assembler";5;"No";"No";"Yes";"No";"No";"Yes"
"Occasionally";"Yes";"Definitely yes";"Eclipse";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"Eclipse";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C++, Assembler";5;"No";"No";"Yes";"No";"No";"Yes"
"Occasionally";"Yes";"Yes";"NetBeans";"C++, Assembler";19;"No";"No";"Yes";"No";"No";"Yes"
"Seldom";"Yes";"Yes";"NetBeans";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Seldom";"Yes";"Yes";"Eclipse";"C++";12;"No";"No";"Yes";"No";"No";"No"
"Occasionally";"Yes";"Yes";"Eclipse";"C++";7;"No";"No";"Yes";"No";"No";"No"
"Occasionally";"Yes";"Yes";"NetBeans";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Yes";"IntelliJ IDEA";"C++, Assembler";5;"No";"No";"Yes";"No";"No";"Yes"
"Most of the time";"Yes";"Hard to say";"NetBeans";"C++, Assembler";4;"No";"No";"Yes";"No";"No";"Yes"
"Most of the time";"Yes";"Hard to say";"NetBeans";"C++";14;"No";"No";"Yes";"No";"No";"No"
"Occasionally";"Yes";"Hard to say";"NetBeans";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Hard to say";"NetBeans";"C++, Assembler";5;"No";"No";"Yes";"No";"No";"Yes"
"Occasionally";"Yes";"No";"Don't know";"C++, Assembler";15;"No";"No";"Yes";"No";"No";"Yes"
"Seldom";"Yes";"No";"Don't know";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Occasionally";"Yes";"No";"Don't know";"C++";5;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"No";"Definitely no";"IntelliJ IDEA";"C#, PHP, Assembler";5;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"No";"Definitely no";"Eclipse";"C#, PHP, Assembler";2;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"Yes";"Definitely no";"IntelliJ IDEA";"C#, PHP, Assembler";5;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"Yes";"Definitely no";"NetBeans";"C#, PHP, Assembler";5;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"Yes";"Definitely no";"IntelliJ IDEA";"C#, PHP, Assembler";4;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"No";"Definitely no";"Eclipse";"C#, PHP";5;"No";"Yes";"No";"Yes";"No";"No"
"Most of the time";"No";"Yes";"NetBeans";"C++, PHP";6;"No";"No";"Yes";"Yes";"No";"No"
"Most of the time";"No";"Definitely yes";"Eclipse";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"No";"Yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"No";"Definitely yes";"NetBeans";"C#, PHP";6;"No";"Yes";"No";"Yes";"No";"No"
"Occasionally";"No";"Definitely yes";"Eclipse";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"No";"Yes";"NetBeans";"C++";6;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"Eclipse";"C#";7;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C++";6;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"Eclipse";"C#, PHP, Assembler";3;"No";"Yes";"No";"Yes";"No";"Yes"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Yes";"NetBeans";"C#";1;"No";"Yes";"No";"No";"No";"No"
"Occasionally";"Yes";"Definitely yes";"Eclipse";"C++";6;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Yes";"NetBeans";"C#";9;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"Eclipse";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"Yes";"Definitely yes";"NetBeans";"C#";6;"No";"Yes";"No";"No";"No";"No"
"Most of the time";"No";"Yes";"NetBeans";"C++";10;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"No";"Definitely yes";"Eclipse";"C++";11;"No";"No";"Yes";"No";"No";"No"
"Most of the time";"No";"Definitely yes";"NetBeans";"C#";12;"No";"Yes";"No";"No";"No";"No"
